,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,0,CL,1559770435,75,-53.16,-70.91,44.6,10.29
1,Rikitea,94,PF,1559770436,81,-23.12,-134.97,76.23,9.19
2,Japura,100,ID,1559770438,97,-0.42,102.29,74.79,2.3
3,Dutlwe,0,BW,1559770439,24,-23.98,23.93,60.03,6.87
4,Kapaa,90,US,1559770440,69,22.08,-159.32,82.4,12.75
5,Atuona,16,PF,1559770442,76,-9.8,-139.03,82.17,18.7
6,Vila Velha,0,BR,1559770443,74,-3.71,-38.6,82.4,8.05
7,Hermanus,87,ZA,1559770444,89,-34.42,19.24,53.01,1.01
8,Yar-Sale,100,RU,1559770445,95,66.83,70.83,33.75,12.64
9,Abu Kamal,100,SY,1559770446,16,34.45,40.92,95.85,9.33
10,Tessalit,0,ML,1559770448,8,20.2,1.01,95.85,3.56
11,Bluff,100,AU,1559770449,61,-23.58,149.07,52.83,17.02
12,Albany,90,US,1559770203,47,42.65,-73.75,81.0,13.87
13,Grong,35,NO,1559770452,65,64.47,12.32,62.01,1.99
14,Barrow,100,AR,1559770453,79,-38.31,-60.23,57.87,8.84
15,Revelstoke,75,CA,1559770454,34,50.99,-118.19,68.0,3.36
16,Mackenzie,40,CA,1559770455,47,55.34,-123.09,55.4,11.41
17,Mataura,100,NZ,1559770456,86,-46.19,168.86,46.17,8.28
18,Port Hedland,0,AU,1559770458,26,-20.31,118.58,59.0,12.75
19,Cidreira,0,BR,1559770459,73,-30.17,-50.22,64.35,13.69
20,Bredasdorp,78,ZA,1559770460,87,-34.53,20.04,51.8,12.75
21,Katsuura,40,JP,1559770462,94,33.93,134.5,69.8,3.36
22,Port Alfred,18,ZA,1559770463,79,-33.59,26.89,57.0,7.0
23,Santa Catalina,90,PH,1559770464,88,9.33,122.86,80.6,7.87
24,Ghanzi,0,BW,1559770465,23,-21.7,21.65,64.17,4.45
25,Lapeer,90,US,1559770467,69,43.05,-83.32,82.0,4.7
26,Lebu,98,ET,1559770468,72,8.96,38.73,62.19,4.25
27,Saint George,40,GR,1559770350,93,39.45,22.34,64.4,4.27
28,Kaeo,82,NZ,1559770269,100,-35.1,173.78,53.01,14.52
29,Chokurdakh,0,RU,1559770472,52,70.62,147.9,38.43,3.83
30,Jamestown,0,AU,1559770225,88,-33.21,138.6,41.13,3.74
31,New Norfolk,20,AU,1559770474,53,-42.78,147.06,51.8,6.93
32,Rio Gallegos,75,AR,1559770476,66,-51.62,-69.22,39.2,1.12
33,Byron Bay,100,AU,1559770477,81,-28.65,153.62,60.01,9.17
34,Bollnas,95,SE,1559770478,86,61.35,16.39,57.99,4.0
35,Yellowknife,75,CA,1559770479,57,62.45,-114.38,51.8,14.99
36,Pong,20,TH,1559770484,88,12.95,100.98,88.0,3.36
37,Guerrero Negro,9,MX,1559770485,87,27.97,-114.04,63.81,12.28
38,Butaritari,55,KI,1559770489,79,3.07,172.79,85.23,15.5
39,Abu Dhabi,0,AE,1559770445,55,24.47,54.37,91.4,3.36
40,Quatre Cocos,20,MU,1559770501,78,-20.21,57.76,73.4,12.75
41,Nome,90,US,1559770502,94,30.04,-94.42,77.0,17.22
42,Ushuaia,0,AR,1559770333,80,-54.81,-68.31,41.0,6.82
43,Los Llanos de Aridane,75,ES,1559770504,68,28.66,-17.92,69.8,12.75
44,Castro,90,CL,1559770506,100,-42.48,-73.76,48.2,17.22
45,Mecca,1,SA,1559770213,25,21.43,39.83,97.47,6.35
46,Bambous Virieux,20,MU,1559770508,78,-20.34,57.76,73.4,12.75
47,Ayan,0,TR,1559770510,90,40.67,33.6,53.55,2.01
48,Ferndale,75,US,1559770271,62,48.85,-122.59,64.4,9.17
49,Egvekinot,100,RU,1559770486,94,66.32,-179.17,39.69,4.97
50,Coquimbo,75,CL,1559770513,87,-29.95,-71.34,72.0,9.17
51,Saint-Philippe,90,CA,1559770515,63,45.36,-73.48,66.0,5.82
52,Ancud,90,CL,1559770440,100,-41.87,-73.83,48.2,17.22
53,Markova,0,RU,1559770517,87,52.21,104.21,48.2,2.24
54,Makat,0,KZ,1559770518,47,47.65,53.35,66.33,12.26
55,Airai,84,TL,1559770520,71,-8.93,125.41,71.91,10.02
56,Hilo,90,US,1559770521,74,19.71,-155.08,80.01,8.05
57,Francisco Beltrao,0,BR,1559770523,83,-26.08,-53.05,56.61,3.4
58,Mar del Plata,23,AR,1559770468,46,-46.43,-67.52,51.39,20.09
59,Quang Ngai,70,VN,1559770528,81,15.12,108.8,73.53,2.84
60,Guarapuava,0,BR,1559770530,85,-25.4,-51.46,54.81,4.12
61,Beringovskiy,100,RU,1559770531,67,63.05,179.32,49.23,7.4
62,Hovd,0,NO,1559770533,67,63.83,10.7,61.0,18.34
63,Cape Town,75,ZA,1559770386,87,-33.93,18.42,55.99,8.05
64,Fort Morgan,1,US,1559770535,22,40.25,-103.8,82.4,10.29
65,Xingyi,0,CN,1559770537,97,24.19,102.82,58.05,3.56
66,Ponta do Sol,0,BR,1559770538,80,-20.63,-46.0,57.87,4.5
67,Kisangani,1,CD,1559770540,67,0.52,25.21,74.07,1.99
68,Pevek,0,RU,1559770541,85,69.7,170.27,32.13,2.71
69,Ribeira Grande,40,PT,1559770542,72,38.52,-28.7,64.4,14.99
70,Tarko-Sale,100,RU,1559770546,61,64.92,77.78,51.01,12.71
71,Severo-Kurilsk,100,RU,1559770548,98,50.68,156.12,40.95,3.83
72,Smithers,75,CA,1559770549,54,54.78,-127.17,53.6,8.05
73,Coihaique,75,CL,1559770550,87,-45.58,-72.07,46.4,9.17
74,Upernavik,92,GL,1559770551,74,72.79,-56.15,39.69,1.34
75,Grand Gaube,20,MU,1559770553,78,-20.01,57.66,73.4,12.75
76,Matara,7,PE,1559770554,28,-13.74,-72.9,57.33,9.89
77,Torbay,40,CA,1559770458,48,47.66,-52.73,60.8,20.8
78,Hobart,20,AU,1559770556,53,-42.88,147.33,51.8,6.93
79,Isangel,90,VU,1559770558,83,-19.55,169.27,77.0,13.06
80,Carnarvon,57,ZA,1559770559,60,-30.97,22.13,45.09,9.73
81,Batemans Bay,0,AU,1559770563,83,-35.71,150.18,37.0,1.01
82,Hithadhoo,95,MV,1559770565,78,-0.6,73.08,83.43,9.46
83,Lakhnadon,36,IN,1559770566,14,22.6,79.61,99.63,10.36
84,Aksay,20,RU,1559770568,42,47.27,39.86,68.0,11.18
85,Beyneu,1,KZ,1559770569,25,45.32,55.19,72.09,15.1
86,Souillac,2,FR,1559770570,93,45.6,-0.6,55.99,6.93
87,Rumonge,1,BI,1559770571,89,-3.97,29.44,61.11,3.42
88,Mastic Beach,20,US,1559770402,77,40.77,-72.85,78.01,11.41
89,Nyagan,100,RU,1559770574,89,62.14,65.43,40.05,7.43
90,Sherbakul,40,RU,1559770575,93,54.63,72.39,48.2,8.95
91,Tuktoyaktuk,40,CA,1559770576,54,69.44,-133.03,55.4,10.29
92,Mogadishu,56,SO,1559770303,80,2.04,45.34,78.03,10.36
93,Evensk,10,RU,1559770579,56,61.92,159.24,53.37,6.22
94,Khatanga,35,RU,1559770580,63,71.98,102.47,49.95,5.06
95,Vaini,89,IN,1559770581,85,15.34,74.49,81.09,2.44
96,Bilma,52,NE,1559770583,14,18.69,12.92,97.47,10.42
97,Kikwit,24,CD,1559770584,34,-5.04,18.82,73.53,3.42
98,Kavaratti,100,IN,1559770587,75,10.57,72.64,84.87,15.64
99,Georgetown,20,GY,1559770588,83,6.8,-58.16,84.2,11.41
100,Kahului,40,US,1559770589,69,20.89,-156.47,84.2,3.36
101,Pangai,75,TO,1559770591,78,-19.8,-174.35,78.8,10.29
102,Touros,20,BR,1559770592,78,-5.2,-35.46,80.6,9.17
103,Pereslavl-Zalesskiy,0,RU,1559770594,86,56.74,38.86,57.51,4.38
104,Aquiraz,0,BR,1559770595,74,-3.9,-38.39,82.4,8.05
105,Mackay,75,CA,1559770596,50,53.65,-115.58,55.4,9.17
106,Paamiut,100,GL,1559770598,74,61.99,-49.67,39.87,27.38
107,Bethel,75,US,1559770599,76,60.79,-161.76,51.8,12.75
108,Nizhniy Tsasuchey,4,RU,1559770601,75,50.52,115.13,45.81,4.52
109,Auki,28,NG,1559770602,32,12.18,6.51,93.15,8.3
110,Neftcala,100,AZ,1559770603,66,39.37,49.25,75.69,3.13
111,Tasiilaq,0,GL,1559770605,86,65.61,-37.64,37.4,8.05
112,Hasaki,75,JP,1559770606,100,35.73,140.83,68.0,2.24
113,Fairmont,1,US,1559770607,40,40.64,-97.59,90.0,5.82
114,East London,59,ZA,1559770475,71,-33.02,27.91,50.31,4.72
115,Busselton,100,AU,1559770610,16,-33.64,115.35,64.0,39.8
116,Taoudenni,0,ML,1559770611,8,22.68,-3.98,99.99,1.95
117,Bandarbeyla,100,SO,1559770613,66,9.49,50.81,81.45,3.91
118,Faanui,6,PF,1559770448,79,-16.48,-151.75,81.45,20.87
119,Lashma,0,RU,1559770615,84,54.93,41.14,57.51,3.38
120,Alugan,87,PH,1559770616,85,12.22,125.48,78.93,3.8
121,Matagami,100,NG,1559770617,90,9.67,8.4,73.35,2.8
122,Prince Rupert,1,CA,1559770619,67,54.32,-130.32,57.2,6.93
123,Qaanaaq,98,GL,1559770620,80,77.48,-69.36,30.15,2.51
124,Puerto Ayora,20,EC,1559770621,54,-0.74,-90.35,84.2,20.8
125,Salalah,40,OM,1559770623,79,17.01,54.1,86.0,6.93
126,Buraydah,0,SA,1559770624,17,26.33,43.97,89.6,5.82
127,Stryn,40,NO,1559770404,67,61.9,6.72,62.6,13.87
128,Alice Springs,0,AU,1559770626,80,-23.7,133.88,33.8,3.36
129,Chuy,78,UY,1559770628,72,-33.69,-53.46,65.25,12.73
130,Zeya,19,RU,1559770629,74,53.74,127.27,56.25,3.98
131,Kauhajoki,0,FI,1559770633,87,62.43,22.18,61.0,3.36
132,Lumeje,21,AO,1559770634,48,-11.56,20.78,59.49,4.9
133,Khasan,100,RU,1559770636,95,42.43,130.64,55.35,2.73
134,Kropotkin,6,RU,1559770637,67,45.43,40.58,68.85,13.44
135,Aklavik,40,CA,1559770638,44,68.22,-135.01,59.0,8.05
136,Catuday,100,PH,1559770640,68,16.29,119.81,87.93,7.09
137,Lethem,59,GY,1559770641,51,3.38,-59.8,89.91,8.03
138,Avarua,21,CK,1559770642,73,-21.21,-159.78,77.0,11.41
139,Poso,100,ID,1559770643,96,-1.4,120.75,62.19,2.8
140,Tadine,100,NC,1559770645,75,-21.55,167.88,72.81,18.86
141,Victoria,75,BN,1559770646,94,5.28,115.24,82.0,2.24
142,Talnakh,0,RU,1559770648,86,69.49,88.39,37.4,8.95
143,Zhigansk,1,RU,1559770649,75,66.77,123.37,57.15,0.27
144,Geraldton,20,CA,1559770650,34,49.72,-86.95,64.4,9.17
145,Carman,1,CA,1559770652,27,49.51,-98.0,81.0,6.93
146,Changuinola,83,PA,1559770654,54,9.44,-82.52,85.23,4.9
147,Sao Miguel do Araguaia,91,BR,1559770655,48,-13.28,-50.16,83.07,2.86
148,Honningsvag,75,NO,1559770657,75,70.98,25.97,42.8,2.24
149,Gjirokaster,20,AL,1559770658,93,40.08,20.14,64.4,3.71
150,Fortuna,0,ES,1559770659,64,38.18,-1.13,75.99,4.7
151,Yuncheng,2,CN,1559770661,89,35.03,111.0,64.35,8.75
152,Palmer,1,US,1559770662,59,61.6,-149.11,66.99,5.82
153,Provideniya,75,RU,1559770663,80,64.42,-173.23,41.0,11.18
154,Komsomolskiy,100,RU,1559770369,90,67.55,63.78,26.91,7.36
155,Cayenne,20,GF,1559770666,78,4.94,-52.33,82.4,8.05
156,Sitrah,0,BH,1559770667,52,26.15,50.62,91.4,2.24
157,Huarmey,33,PE,1559770669,88,-10.07,-78.15,63.27,15.99
158,Demidov,0,RU,1559770670,96,55.27,31.52,62.19,4.23
159,Havoysund,75,NO,1559770672,75,71.0,24.66,42.8,2.24
160,Wuwei,69,CN,1559770673,33,37.93,102.64,63.27,8.19
161,Ambilobe,6,MG,1559770674,69,-13.19,49.05,70.65,8.72
162,Mlonggo,19,ID,1559770675,81,-6.53,110.7,82.17,10.11
163,Mitu,83,IR,1559770677,33,36.2,46.09,68.85,3.94
164,Tibati,100,CM,1559770678,94,6.47,12.63,70.29,5.35
165,Jagdalpur,100,IN,1559770680,68,19.09,82.02,80.73,6.69
166,Fairbanks,40,US,1559770681,34,64.84,-147.72,68.0,4.7
167,Tiznit,0,MA,1559770682,78,29.7,-9.73,67.77,25.17
168,Lorengau,97,PG,1559770683,87,-2.02,147.27,79.11,2.91
169,Luderitz,30,NA,1559770685,82,-26.65,15.16,57.2,14.99
170,Noumea,75,NC,1559770686,94,-22.28,166.46,68.0,1.12
171,Diego de Almagro,56,CL,1559770687,51,-26.39,-70.05,65.61,6.06
172,Chicama,0,PE,1559770688,82,-7.84,-79.15,68.0,9.17
173,Haines Junction,59,CA,1559770690,29,60.75,-137.51,54.99,6.67
174,Kulevcha,1,UA,1559770691,75,46.03,29.93,66.15,3.47
175,Phan Thiet,94,VN,1559770692,82,10.93,108.1,76.23,3.74
176,Berdigestyakh,71,RU,1559770697,80,62.1,126.7,57.51,5.21
177,Saskylakh,0,RU,1559770698,55,71.97,114.09,40.95,9.31
178,Vardo,40,US,1559770700,69,39.62,-77.74,78.01,13.87
179,Chancay,90,PE,1559770701,77,-11.56,-77.27,64.4,8.05
180,Esperance,20,TT,1559770702,70,10.24,-61.45,86.0,13.87
181,Dikson,0,RU,1559770704,91,73.51,80.55,27.45,2.3
182,Mount Gambier,90,AU,1559770510,100,-37.83,140.78,50.0,6.93
183,Bukama,0,CD,1559770706,46,-9.2,25.85,64.71,2.19
184,Turinsk,100,RU,1559770707,86,58.04,63.7,48.69,11.34
185,Dwarka,40,IN,1559770709,36,28.58,77.04,93.2,2.15
186,Saint-Leu,0,RE,1559770710,64,-21.15,55.28,71.6,5.82
187,Tuatapere,68,NZ,1559770711,64,-46.13,167.69,51.39,34.09
188,Nikolskoye,4,RU,1559770713,63,59.7,30.79,66.2,2.24
189,Arraial do Cabo,40,BR,1559770714,88,-22.97,-42.02,68.0,5.82
190,Tual,100,ID,1559770715,85,-5.67,132.75,81.09,26.06
191,Fereydun Kenar,0,IR,1559770717,94,36.69,52.52,77.0,5.5
192,Kavieng,84,PG,1559770718,74,-2.57,150.8,84.33,9.19
193,Mangrol,0,IN,1559770719,16,25.33,76.51,101.25,9.57
194,Thompson,75,CA,1559770720,87,55.74,-97.86,55.4,2.24
195,Chabahar,0,IR,1559770722,83,25.29,60.65,84.2,6.15
196,Montevideo,1,US,1559770444,36,44.94,-95.72,82.4,9.17
197,Aykhal,0,RU,1559770724,87,65.95,111.51,48.2,2.24
198,Hofn,100,IS,1559770726,83,64.25,-15.21,31.77,24.14
199,Yerbogachen,92,RU,1559770727,68,61.28,108.01,51.39,5.26
200,Saurimo,10,AO,1559770728,48,-9.66,20.4,61.83,4.23
201,Punto Fijo,100,VE,1559770729,70,11.69,-70.21,86.49,26.89
202,Barra Patuca,53,HN,1559770730,78,15.8,-84.28,84.51,17.6
203,Morehead,75,US,1559770732,61,38.18,-83.43,84.2,9.17
204,Lakes Entrance,100,AU,1559770733,88,-37.88,147.99,52.0,8.12
205,Hamilton,75,BM,1559770734,88,32.3,-64.78,78.01,8.05
206,Elbeuf,75,FR,1559770736,100,49.29,1.01,54.0,5.82
207,Mikhaylovka,8,RU,1559770737,86,52.96,103.29,44.37,5.26
208,Khorol,83,UA,1559770738,78,49.78,33.27,65.97,10.27
209,Pokosnoye,4,RU,1559770740,93,55.53,101.05,44.01,2.42
210,Mahebourg,20,MU,1559770741,78,-20.41,57.7,73.4,12.75
211,Panambi,0,BR,1559770742,59,-28.29,-53.5,66.2,9.17
212,Nantucket,40,US,1559770743,93,41.28,-70.1,68.0,17.22
213,Tabuk,87,PH,1559770745,92,17.41,121.44,65.07,3.29
214,Iglas,40,IN,1559770746,55,27.71,77.94,87.8,1.12
215,Gat,20,SN,1559770747,78,14.69,-16.54,73.4,10.29
216,Tari,69,NG,1559770749,26,12.41,4.49,96.57,4.65
217,Sitka,13,US,1559770750,29,37.17,-99.65,88.47,6.62
218,Pentecoste,8,BR,1559770751,85,-3.8,-39.27,81.0,14.0
219,Iracoubo,2,GF,1559770753,77,5.48,-53.21,81.81,7.38
220,Ukiah,1,US,1559770734,23,39.15,-123.21,90.0,9.17
221,Dzaoudzi,0,YT,1559770755,74,-12.79,45.27,80.6,4.7
222,Elizabeth City,75,US,1559770756,88,36.3,-76.22,79.0,11.41
223,Dunn,100,US,1559770758,100,35.31,-78.61,80.01,9.17
224,Queanbeyan,75,AU,1559770759,92,-35.35,149.23,30.0,5.82
225,Sao Felix do Xingu,46,BR,1559770761,73,-6.64,-51.99,78.21,3.33
226,Iqaluit,90,CA,1559770762,75,63.75,-68.52,42.8,18.34
227,Dzerzhinsk,0,RU,1559770763,67,56.24,43.46,59.0,4.47
228,Sur,0,OM,1559770765,46,22.57,59.53,91.89,12.86
229,Alenquer,20,BR,1559770766,74,-1.95,-54.74,86.0,8.05
230,Barcelos,40,PT,1559770767,76,41.53,-8.62,60.01,5.95
231,Bereda,20,ES,1559770768,71,43.27,-7.54,55.4,4.7
232,Portland,90,US,1559770744,59,45.52,-122.67,66.2,3.2
233,Veraval,75,FR,1559770771,100,49.65,0.71,54.0,5.82
234,Gambela,100,ET,1559770772,87,8.25,34.59,68.49,3.96
235,Westlock,75,CA,1559770774,42,54.15,-113.85,66.0,8.05
236,Kaitangata,100,NZ,1559770762,72,-46.28,169.85,44.01,5.99
237,Saint-Augustin,75,FR,1559770776,93,44.83,-0.61,55.99,3.36
238,Cururupu,100,BR,1559770777,96,-1.82,-44.87,76.41,1.95
239,Vostok,76,RU,1559770779,87,46.45,135.83,54.99,3.11
240,Lima,90,PE,1559770514,77,-12.06,-77.04,64.4,8.05
241,Ginda,27,IN,1559770781,17,30.69,78.49,61.47,6.82
242,Spencer,1,US,1559770783,51,43.14,-95.14,87.01,4.7
243,Constitucion,40,MX,1559770785,22,23.99,-104.67,87.01,6.93
244,Nouakchott,0,MR,1559770706,73,18.08,-15.98,71.6,9.17
245,Cabo San Lucas,5,MX,1559770619,57,22.89,-109.91,86.0,17.22
246,Siswa Bazar,0,IN,1559770788,42,27.12,83.76,90.99,10.69
247,Ostrovnoy,0,RU,1559770789,81,68.05,39.51,39.51,7.67
248,Bonavista,99,CA,1559770791,63,48.65,-53.11,59.0,14.0
249,Kyabram,32,AU,1559770792,85,-36.31,145.05,48.99,8.01
250,Kijang,100,KR,1559770794,82,35.24,129.21,66.2,3.36
251,Ilulissat,20,GL,1559770795,42,69.22,-51.1,46.4,4.7
252,Talcahuano,90,CL,1559770796,100,-36.72,-73.12,55.4,10.29
253,Neuquen,0,AR,1559770798,51,-38.95,-68.06,59.0,5.82
254,Port Hawkesbury,90,CA,1559770799,87,45.62,-61.36,54.0,10.29
255,Ati,100,TD,1559770800,21,13.21,18.34,102.69,3.76
256,Jingdezhen,100,CN,1559770802,94,29.29,117.2,73.17,5.75
257,Lata,44,IN,1559770804,36,30.78,78.62,35.19,10.47
258,Kangaatsiaq,0,GL,1559770805,61,68.31,-53.46,40.95,17.07
259,Shebunino,0,RU,1559770806,82,57.66,40.04,55.4,5.23
260,Srednekolymsk,99,RU,1559770808,32,67.46,153.71,45.81,15.05
261,Kushima,61,JP,1559770809,94,31.5,131.29,71.6,3.36
262,Price,20,US,1559770775,18,39.6,-110.81,82.4,12.75
263,Poitiers,0,FR,1559770812,93,46.58,0.34,54.0,8.05
264,Nakhon Si Thammarat,100,TH,1559770814,85,8.43,99.96,77.31,0.43
265,Kodiak,1,US,1559770815,14,39.95,-94.76,91.4,5.82
266,Derby,0,GB,1559770817,71,52.92,-1.48,59.0,4.7
267,Mayo,75,CA,1559770818,29,63.59,-135.9,62.6,6.93
268,Kamenka,0,RU,1559770819,56,53.19,44.05,68.0,1.3
269,Pacific Grove,1,US,1559770821,63,36.62,-121.92,93.0,12.75
270,San Juan,2,AR,1559770770,11,-31.54,-68.53,67.59,2.95
271,Kruisfontein,2,ZA,1559770825,84,-34.0,24.73,51.39,10.65
272,Usinsk,88,RU,1559770826,57,66.0,57.56,48.51,8.52
273,Ornskoldsvik,92,SE,1559770827,81,63.29,18.72,53.6,2.24
